cat	alias	title	publication	arxiv	doi	pdf	code	mechanism	fit
9	UncertainBEV	UncertainBEV: Uncertainty-aware BEV fusion for roadside 3D object detection	Image and Vision Computing 159:105567, 2025		10.1016/j.imavis.2025.105567	https://www.sciencedirect.com/science/article/pii/S0262885625001556/pdfft		面向路侧多传感器 BEV 融合显式处理不确定性。	C｜单路侧系统迁移；重点需核对标定不确定性与天气测量噪声的区别。
9	CCF	CCF: Complementary Collaborative Fusion for Domain Generalized Multi-Modal 3D Object Detection	CVPR 2026:18745–18754	2603.23276			https://github.com/IMPL-Lab/CCF	互补融合与域泛化监督设计，增强多模态 3D 检测对分布变化的适应性。	C｜单车多模态，题名的 collaborative 不表示 V2X；可迁移互补监督思路。
10	BELT-Fusion	BELT-Fusion: Bayesian Evidential Late Fusion for Trustworthy V2X Perception	IEEE T-ITS 27(1):725–741, 2026；online 2025		10.1109/TITS.2025.3625597		https://github.com/ZhiguoZhao/BELT-Fusion	将贝叶斯不确定性和证据理论用于 V2X 检测结果的后期融合。	C｜决策层迁移；值得借鉴冲突与未知状态，不能直接把框级证据组合用于未校准 BEV 特征。
10	All-Vehicles-Can-Lie	All Vehicles Can Lie: Efficient Adversarial Defense in Fully Untrusted-Vehicle Collaborative Perception via Pseudo-Random Bayesian Inference	CVPR 2026:6549–6558			https://openaccess.thecvf.com/content/CVPR2026/papers/Yu_All_Vehicles_Can_Lie_Efficient_Adversarial_Defense_in_Fully_Untrusted-Vehicle_CVPR_2026_paper.pdf		在所有车辆可能不可信时采用伪随机贝叶斯推断防御协作攻击。	C｜对抗攻击而非天气；“ego 也可能坏”这一假设对你的门控设计有参考价值。
11	RCP-Bench	RCP-Bench: Benchmarking Robustness for Collaborative Perception Under Diverse Corruptions	CVPR 2025:11908–11918			https://openaccess.thecvf.com/content/CVPR2025/papers/Du_RCP-Bench_Benchmarking_Robustness_for_Collaborative_Perception_Under_Diverse_Corruptions_CVPR_2025_paper.pdf	https://github.com/LuckyDush/RCP-Bench	协作感知的多类损坏评测及鲁棒训练参考。	D｜主要是相机图像 corruption；不可当作 OPV2V-W LiDAR 雨雾雪基准。
11	CoInfra	CoInfra: A Large-Scale Cooperative Infrastructure Perception System and Dataset in Adverse Weather	arXiv 2025；正式发表[待确认]	2507.02245			https://github.com/NingMingHao/CoInfra	真实恶劣天气下的多路侧协作系统与数据集，提供多节点观测。	D｜真实天气外部验证有价值；路侧配置与车车仿真需分别报告。
11	Adver-City	Adver-City: Open-Source Multi-Modal Dataset for Collaborative Perception Under Adverse Weather Conditions	IEEE ITSC 2025；arXiv 2024	2410.06380	10.1109/ITSC60802.2025.11423805		https://github.com/QUARRG/Adver-City	开放多模态协作恶劣天气数据，覆盖不同传感器和退化条件。	D｜用于跨天气/跨数据集验证，避免只在一种天气模拟器上得出泛化结论。
11	Intermediate-Fusion-Survey	A Survey on Intermediate Fusion Methods for Collaborative Perception Categorized by Real World Challenges	IEEE IV 2024:2226–2233	2404.16139				按现实挑战组织中间融合方法，便于追踪通信、定位、异构等分支。	D｜方法分类和回溯入口；不替代逐篇检查天气实验。
11	V2X-Survey-PIEEE	Vehicle-to-Everything Cooperative Perception for Autonomous Driving	Proceedings of the IEEE 113(5):443–477, 2025		10.1109/JPROC.2025.3600903	https://chuhengwei.com/files/PIEEE_Cooperative_Perception.pdf		概述 V2X 感知体系、合作策略与开放问题。	D｜广域查漏；只将原始论文作为具体方法结论的直接依据。
11	Systematic-Review	A Systematic Literature Review on Vehicular Collaborative Perception: A Computer Vision Perspective	IEEE T-ITS 2026；卷期页码[待确认]			https://publikationen.bibliothek.kit.edu/1000188258/170663113	https://github.com/leiwanrobotics/awesome-collaborative-perception	系统整理协作感知方法，配套持续更新文献索引。	D｜本次用于滚雪球发现；仓库是文献索引，不是单个检测算法的可运行实现。
